date,spend,installs,trials,sold,fb,purchase,contact_info,form_submit,contact_sent,clicks,impressions
23.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
24.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
25.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
26.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
27.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
28.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
29.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
30.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
31.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
01.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
02.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
03.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
04.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
05.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
06.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
07.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
08.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
09.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
10.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
11.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
12.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
13.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
14.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
15.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
16.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
17.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
18.08.2026,0.0,26,1,1,0,1,0,0,0,18,1606
19.08.2026,0.0,77,2,0,0,0,1,4,1,71,3687
20.08.2026,0.0,29,0,0,0,0,0,0,0,24,741
21.08.2026,449.94,61,1,0,0,0,1,1,1,47,2330
22.08.2026,576.9,45,0,0,0,0,0,0,0,47,3746
23.08.2026,867.01,42,0,0,0,0,0,0,0,50,3951
24.08.2026,974.05,42,0,0,0,0,0,0,0,42,3402
