date,spend,polza_spend,installs,trials,sold,fb,paid_net,rebill_net,clicks,impressions
31.07.2026,0.0,61.17,1,0,0,0,0,0,0,0
01.08.2026,0.0,0.0,0,0,0,0,0,0,0,0
02.08.2026,565.46,0.0,0,0,0,0,0,0,357,4121
03.08.2026,1612.92,134.79,0,0,0,0,0,0,1132,21509
04.08.2026,1896.6,550.07,80,0,0,1,399,0,733,18511
05.08.2026,2023.5,1041.38,136,0,0,0,0,0,335,6023
06.08.2026,1597.24,1110.2,97,0,0,0,0,0,202,4515
07.08.2026,1227.79,996.58,75,0,0,0,0,0,158,4404
08.08.2026,878.1,479.91,54,0,0,1,199,0,111,3300
09.08.2026,677.56,485.15,45,0,0,0,0,0,81,2269
10.08.2026,2090.26,1100.76,95,0,0,0,0,0,198,4519
11.08.2026,1846.85,985.35,94,5,0,0,0,0,202,6631
12.08.2026,1307.27,1357.28,94,4,0,3,597,0,183,4218
13.08.2026,1039.21,534.92,49,0,0,3,597,0,118,3855
14.08.2026,878.28,409.15,49,1,0,0,0,0,112,4084
15.08.2026,1108.46,490.61,54,3,0,2,597,199,121,5424
16.08.2026,1723.09,804.7,74,3,0,0,0,0,204,10361
17.08.2026,2160.06,1131.13,80,5,0,0,0,0,242,6695
18.08.2026,2038.92,1083.98,69,7,0,2,598,0,201,6614
19.08.2026,1705.16,624.42,69,5,0,0,398,398,164,4031
20.08.2026,1058.79,808.23,67,4,0,2,995,597,134,2953
21.08.2026,725.31,365.36,28,0,0,1,199,0,76,2407
22.08.2026,1171.2,463.56,46,2,0,3,1394,597,438,8297
23.08.2026,1153.74,634.21,54,3,0,0,0,0,179,4434
24.08.2026,2117.77,1012.36,71,7,0,0,0,0,231,6540
25.08.2026,2180.32,684.88,63,4,0,1,398,199,149,5134
26.08.2026,1876.37,827.74,59,6,0,0,199,199,119,4982
27.08.2026,1413.3,1811.67,48,11,0,1,1194,995,87,4217
28.08.2026,770.33,588.56,41,3,0,1,398,199,64,3301
29.08.2026,920.09,647.96,51,4,0,2,995,597,94,4420
30.08.2026,794.33,501.13,28,5,0,3,597,0,73,3180
31.08.2026,2179.5,924.88,64,6,1,3,3287,399,138,7547
01.09.2026,2206.68,659.23,47,4,0,1,597,398,127,5324
02.09.2026,1873.66,781.83,70,4,0,4,1196,0,113,5143
03.09.2026,1613.58,584.74,48,4,0,2,1592,1194,93,4468
04.09.2026,961.01,552.3,42,4,0,0,399,399,82,3021
05.09.2026,760.74,518.78,27,4,0,1,995,796,72,2361
06.09.2026,410.65,351.24,22,3,0,1,796,597,38,1082
07.09.2026,2253.13,716.56,67,2,0,1,597,398,119,3506
08.09.2026,2168.61,1153.56,63,6,0,2,995,597,126,5456
09.09.2026,2227.37,1181.13,65,7,0,4,1394,398,116,4006
10.09.2026,1346.91,653.73,45,7,0,0,796,796,68,2171
11.09.2026,1034.81,850.67,38,5,0,2,398,0,53,1582
12.09.2026,662.05,610.51,29,4,0,2,1194,796,37,1097
13.09.2026,239.58,270.48,23,2,0,1,796,597,15,400
14.09.2026,2204.64,1098.48,57,6,0,2,597,199,140,5661
15.09.2026,2109.91,755.59,56,7,0,1,1394,995,118,3814
16.09.2026,2046.1,712.48,69,3,0,0,796,796,116,4269
17.09.2026,1642.42,555.25,53,3,0,2,1594,796,91,2618
18.09.2026,945.15,541.23,35,4,0,3,2394,797,45,1187
19.09.2026,779.55,542.98,39,3,0,0,796,796,47,930
20.09.2026,272.22,224.11,19,0,0,1,996,597,14,419
21.09.2026,1360.81,451.92,34,5,0,0,199,199,58,1703
